datetime,underlying_price,date,option_symbol,option_type,strike,expiry,bid,ask,mid,T,sigma,bs_price,signal,exec_price
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00570000,call,570.0,2025-07-21,56.55,58.66,57.605,0.053710045662100456,0.5139158394950392,46.90604499599078,-1,56.55
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00575000,call,575.0,2025-07-21,51.55,53.66,52.605,0.053710045662100456,0.48263456733259635,41.908774147321196,-1,51.55
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00580000,call,580.0,2025-07-21,46.56,48.67,47.615,0.053710045662100456,0.4511961287616124,36.911833096699525,-1,46.56
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00585000,call,585.0,2025-07-21,41.56,43.67,42.615,0.053710045662100456,0.4190658858850113,31.91696958891464,-1,41.56
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00590000,call,590.0,2025-07-21,36.56,38.67,37.615,0.053710045662100456,0.38634024548689583,26.93225032583632,-1,36.56
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00595000,call,595.0,2025-07-21,31.56,33.67,32.615,0.053710045662100456,0.35285175648091055,21.986164985778373,-1,31.56
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00599000,call,599.0,2025-07-21,27.57,29.68,28.625,0.053710045662100456,0.32555036803813264,18.10621798817158,-1,27.57
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00600000,call,600.0,2025-07-21,26.57,28.68,27.625,0.053710045662100456,0.31855814320278386,17.155532132652525,-1,26.57
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00603000,call,603.0,2025-07-21,23.57,25.68,24.625,0.053710045662100456,0.29724928582348953,14.374040417572814,-1,23.57
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00605000,call,605.0,2025-07-21,21.57,23.68,22.625,0.053710045662100456,0.28272732220813696,12.59718747581212,-1,21.57
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00607000,call,607.0,2025-07-21,19.58,21.69,20.634999999999998,0.053710045662100456,0.26809069292698146,10.901628624554746,-1,19.58
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00610000,call,610.0,2025-07-21,16.58,18.69,17.634999999999998,0.053710045662100456,0.24518862017674803,8.548474136778566,-1,16.58
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00611000,call,611.0,2025-07-21,16.4,16.83,16.615,0.053710045662100456,0.23698529615201505,7.823039309954879,-1,16.4
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00612000,call,612.0,2025-07-21,14.59,16.7,15.645,0.053710045662100456,0.22955385527737518,7.130139423296782,-1,14.59
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00613000,call,613.0,2025-07-21,14.59,14.73,14.66,0.053710045662100456,0.2217159683528569,6.471317250235643,-1,14.59
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00614000,call,614.0,2025-07-21,13.6,13.73,13.665,0.053710045662100456,0.2135489141339285,5.8478663314795085,-1,13.6
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00615000,call,615.0,2025-07-21,12.61,12.74,12.675,0.053710045662100456,0.20530128133172693,5.260799308643129,-1,12.61
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00616000,call,616.0,2025-07-21,11.62,11.75,11.684999999999999,0.053710045662100456,0.1968633332648755,4.710823043662174,-1,11.62
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00617000,call,617.0,2025-07-21,10.64,10.76,10.7,0.053710045662100456,0.18829713704690595,4.198321542619226,-1,10.64
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00618000,call,618.0,2025-07-21,9.66,9.78,9.719999999999999,0.053710045662100456,0.17957086337127148,3.723347366762539,-1,9.66
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00619000,call,619.0,2025-07-21,8.67,8.8,8.735,0.053710045662100456,0.17046938591177746,3.2856218397739667,-1,8.67
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00620000,call,620.0,2025-07-21,7.72,7.83,7.775,0.053710045662100456,0.16147021766796021,2.88454397187067,-1,7.72
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00621000,call,621.0,2025-07-21,6.77,6.88,6.824999999999999,0.053710045662100456,0.15224794261873892,2.519207642031347,-1,6.77
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00622000,call,622.0,2025-07-21,5.83,5.92,5.875,0.053710045662100456,0.14253972212683133,2.1884262324133488,-1,5.83
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00623000,call,623.0,2025-07-21,4.92,5.0,4.96,0.053710045662100456,0.13286414983342976,1.8907636139328758,-1,4.92
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00624000,call,624.0,2025-07-21,4.04,4.1,4.07,0.053710045662100456,0.12289949112613172,1.6245701548161264,-1,4.04
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00625000,call,625.0,2025-07-21,3.2,3.26,3.23,0.053710045662100456,0.11292452872013962,1.3880222751723181,-1,3.2
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00626000,call,626.0,2025-07-21,2.43,2.47,2.45,0.053710045662100456,0.10289546893152463,1.1791640049397927,-1,2.43
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00627000,call,627.0,2025-07-21,1.75,1.76,1.755,0.053710045662100456,0.093025826601586,0.9959490186805624,-1,1.75
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00628000,call,628.0,2025-07-21,1.17,1.18,1.1749999999999998,0.053710045662100456,0.08369453069670847,0.8362817120486739,-1,1.17
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00629000,call,629.0,2025-07-21,0.72,0.74,0.73,0.053710045662100456,0.07527852737115992,0.6980560402252678,-1,0.72
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00630000,call,630.0,2025-07-21,0.42,0.43,0.425,0.053710045662100456,0.06824516782120361,0.5791910437915533,1,0.43
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00631000,call,631.0,2025-07-21,0.23,0.24,0.235,0.053710045662100456,0.06265571711190765,0.4776622260494108,1,0.24
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00632000,call,632.0,2025-07-21,0.11,0.12,0.11499999999999999,0.053710045662100456,0.0574550801682195,0.3915282007691374,1,0.12
2025-07-01 09:30:00,616.5999755859375,2025-07-19,SPY250721C00633000,call,633.0,2025-07-21,0.05,0.06,0.055,0.053710045662100456,0.05367294189985629,0.3189522845741024,1,0.06
